T,loss_ff,L_final,F_final,knn,eff_rank,twonn,dims_to_95,best_hidden_knn,final_step
16,0.6941910982131958,0.5744266510009766,0.0017817143816500902,0.3305,20.8060416645837,22.712994183255134,50,0.3935,17199
32,0.7469332218170166,0.2543639838695526,0.007276985328644514,0.297,7.3278988008287484,19.835430282109456,29,0.3935,17199
64,0.9109418988227844,0.03713603690266609,0.007460353430360556,0.2655,1.706527289843137,11.306973713153196,2,0.3935,17199
