activity_lr,F_final,L0_move,L1_move,L2_move,L3_move,L4_move,L5_move,L6_move,L7_move,L8_move,L9_move,L_final,L_monotone,diverged,n_layers,n_layers_moved,per_sample_step
0.5,0.0033572050742805004,2.6550329643160175e-11,2.1056663357388317e-11,3.850784968673082e-11,1.982446845572028e-11,5.018924859045981e-11,3.821956973126817e-09,5.131948910275241e-07,1.9327886548126116e-05,0.00051419174997136,0.01793099194765091,0.7939317226409912,True,False,10,1,0.0078125
2.0,0.028770986944437027,1.0786141424468099e-10,1.812401478895609e-10,1.5134708764019678e-10,1.2011169836512181e-08,4.230338106481213e-07,7.084550361469155e-06,8.638064900878817e-05,0.0008009334560483694,0.005651308689266443,0.05821331962943077,0.667265772819519,True,False,10,2,0.03125
8.0,0.09687498211860657,1.9013391749922448e-07,1.7115597756856005e-06,1.2190390407340601e-05,7.249700138345361e-05,0.00035334716085344553,0.0014436878263950348,0.004804993513971567,0.013513709418475628,0.03335654363036156,0.13732542097568512,0.4484700858592987,True,False,10,5,0.125
16.0,0.12084775418043137,3.327158628962934e-05,0.00013632960326503962,0.00046112333075143397,0.0013930224813520908,0.003701562527567148,0.008765258826315403,0.01830998621881008,0.034747879952192307,0.062339264899492264,0.1903250366449356,0.33094391226768494,True,False,10,7,0.25
32.0,16.05426025390625,0.0031213120091706514,0.006152268033474684,0.01756100542843342,0.03015373833477497,0.06591411679983139,0.10453137010335922,0.17473258078098297,0.2130839079618454,0.3105998933315277,0.32828468084335327,0.5499687790870667,False,False,10,10,0.5
64.0,2585373179904.0,3965.079345703125,10244.447265625,21568.83984375,38345.96875,59809.58984375,79425.6796875,86392.90625,68479.296875,31571.099609375,10370.8037109375,0.9388101100921631,False,True,10,10,1.0
128.0,3.801821351547891e+23,980809792.0,2809186304.0,6397336576.0,12417604608.0,20524075008.0,28575496192.0,32140494848.0,26586417152.0,12800324608.0,4339086848.0,0.8723934292793274,False,True,10,10,2.0
