tag,class_lin_acc,class_mlp_acc,colour_rg_lin_nmse,colour_rg_lin_r,colour_rg_mlp_r,concentration_lin_nmse,concentration_lin_r,concentration_mlp_r,decode_psnr,decode_ssim,decode_ssim_floor,decode_ssim_gain,ellipticity_lin_nmse,ellipticity_lin_r,ellipticity_mlp_r,flux_lin_nmse,flux_lin_r,flux_mlp_r,size_rms_lin_nmse,size_rms_lin_r,size_rms_mlp_r
bp_sigreg_e400,0.4475,0.4055,0.07762065747133579,0.9423561292190938,0.9573639817862453,0.055140710622333014,0.973688372600935,0.9835366499534403,26.61288094347874,0.8102980274304609,0.7033289601142969,0.10696906731616396,0.5823281208479237,0.6510693267437874,0.6848909438985534,0.13357448060510138,0.9330063507686169,0.9489022878292425,0.02435553333229403,0.9881329305549337,0.9892633409566104
pc_sigreg_T16_coupled_e400,0.3365,0.3785,0.3661463766741142,0.6752446525832828,0.6470533950219541,0.08691497372557618,0.9582734273717565,0.9694944875571528,28.017652225986907,0.8305186888773379,0.7033289601142969,0.12718972876304102,0.43095419155317505,0.7574608325833148,0.7897688563951948,0.025982080379973328,0.9873602004143109,0.9747557952265945,0.05485181578516053,0.973113446485996,0.9791012769766031
pc_sigreg_T32_coupled_Tsweep,0.3385,0.3455,0.3636760217120429,0.6759210365440625,0.6377408583931704,0.09174898171636264,0.9558330287709929,0.9614554710324211,26.990485933957373,0.8089067672768846,0.7033289601142969,0.10557780716258769,0.4366476653733414,0.7530729559235567,0.7760788809622196,0.05522808499387928,0.9735408405907822,0.9544111137582798,0.06462558320515216,0.9682150357783187,0.9728188635654769
pc_sigreg_T64_coupled_Tsweep,0.338,0.302,0.3647497944745116,0.6748161609325966,0.6462808103280918,0.09632761431451645,0.9535642046824718,0.9602261169310201,25.57966998182822,0.7774019923660667,0.7033289601142969,0.07407303225176975,0.43553338780366413,0.7538914148443944,0.7301282927533144,0.03646145043450814,0.9823026524105388,0.9539440027117632,0.05350730133122185,0.9737667673339959,0.9751730230657852
