,BP,PC T=16,PC T=32,PC T=64
aug_brightness,0.4223,0.1364,0.135,0.1396
aug_contrast,0.7182,0.7808,0.7657,0.7761
aug_crop_cx,0.9759,0.9804,0.9861,0.981
aug_crop_cy,0.9989,0.9999,0.9965,0.9904
aug_crop_scale,0.4856,0.4265,0.4277,0.4489
aug_flip,1.0115,1.0093,1.0086,1.005
aug_rot_cos,0.9895,0.9941,0.9935,0.9914
aug_rot_sin,1.0175,1.0283,1.0231,1.0205
