tag,L0_disp,L1_disp,L2_disp,L3_disp,L4_disp,L5_disp,L6_disp,L7_disp,L8_disp,L9_disp,disp_floor,grad_norm_first100,grad_norm_last100,grad_norm_median,knn_best,knn_best_minus_first,knn_best_step,knn_first,knn_last,n_eval,n_frozen,n_layers,overall_disp
bp_sigreg_e400,0.15784309804439545,0.44399046897888184,0.4129372537136078,0.38094469904899597,0.37475043535232544,0.37276673316955566,0.38388314843177795,0.40463119745254517,0.4311920404434204,0.22618678212165833,0.15784309804439545,0.1660292638093233,0.0742874838039279,0.07073507457971573,0.3985,0.055499999999999994,3440,0.343,0.391,21,2,10,0.24216516964328655
pc_sigreg_T16_coupled_e400,0.004266953561455011,0.004268566612154245,0.004268148448318243,0.004269250202924013,0.004269517492502928,0.004268484190106392,0.004269118420779705,0.017908509820699692,0.3949206471443176,0.5019877552986145,0.004266953561455011,0.004576569474302232,0.0011375725001562386,0.001110588200390339,0.344,0.0,0,0.344,0.3305,21,7,10,0.11090468259619024
pc_sigreg_T32_coupled_Tsweep,0.004266953095793724,0.0042684925720095634,0.00426832027733326,0.004269321449100971,0.0042691766284406185,0.0042693824507296085,0.0053117526695132256,0.11788175255060196,0.6323273181915283,0.6880447864532471,0.004266953095793724,0.008431347152218223,0.0014593542041257024,0.0017221788875758648,0.3435,0.0,0,0.3435,0.297,21,7,10,0.16326919534163478
pc_sigreg_T64_coupled_Tsweep,0.004266953095793724,0.004268374294042587,0.0042684972286224365,0.004268876742571592,0.004269084893167019,0.00430713314563036,0.03922540694475174,0.3330889046192169,0.8484270572662354,0.8757272362709045,0.004266953095793724,0.014361073849722744,0.0015960697608534246,0.0017230527591891587,0.3435,0.0,0,0.3435,0.2655,21,6,10,0.21908864552577523
