tag,class_lin_acc,class_mlp_acc,colour_rg_lin_nmse,colour_rg_lin_r,colour_rg_mlp_r,concentration_lin_nmse,concentration_lin_r,concentration_mlp_r,decode_psnr,decode_ssim,decode_ssim_floor,decode_ssim_gain,ellipticity_lin_nmse,ellipticity_lin_r,ellipticity_mlp_r,flux_lin_nmse,flux_lin_r,flux_mlp_r,size_rms_lin_nmse,size_rms_lin_r,size_rms_mlp_r
bp_sigreg_etafix_s0,0.449,0.4705,0.08496365324610058,0.9386920242994778,0.9594773449276909,0.05448812726973952,0.974002538036592,0.9836264795966086,26.6377366891312,0.8106358069275209,0.7033289601142969,0.107306846813224,0.5888678559822349,0.6459660132741754,0.7091145168835385,0.14308555229502304,0.9280479242420347,0.9438183383943083,0.025267321343455704,0.9876874436899656,0.9897481843343269
bp_sigreg_etafix_s1,0.4495,0.462,0.07632654000977909,0.9437395293115289,0.9625077239491681,0.06330573670839236,0.9697372449386304,0.981847840698101,26.320609453996365,0.8039256261694465,0.7033289601142969,0.10059666605514961,0.5912858209618992,0.6429743458572048,0.6752804911266566,0.12655969290562818,0.9368233399285847,0.9470777624527029,0.0285322614491843,0.9860762307956159,0.9889248120254988
bp_sigreg_etafix_s2,0.4435,0.456,0.07845094720493294,0.9419508658814464,0.9543107299092489,0.06199438972551951,0.9703881978309564,0.9818189484870272,26.571476415000234,0.8093196256249564,0.7033289601142969,0.1059906655106595,0.6048314769529204,0.6329734247253324,0.6823545061257285,0.13490746524577216,0.9323717700156182,0.9438023932125137,0.026060448421521172,0.9872887712429872,0.9890563272951959
pc_sigreg_T16_coupled_etafix_s0,0.3495,0.352,0.31189291200221675,0.7403736257573338,0.7555453827215897,0.09413797800097691,0.9546741098803264,0.9636774597044047,26.610202911213232,0.7984137958346016,0.7033289601142969,0.09508483572030468,0.42382418753641443,0.7611454435485631,0.7377287973447861,0.02518784468349584,0.9877229224365685,0.9448256359534173,0.081021184344337,0.9599769376216284,0.9669025726699709
pc_sigreg_T16_coupled_etafix_s1,0.3505,0.393,0.3079193731875573,0.7332233189987726,0.7415596317913351,0.09872856762687059,0.9523950060425723,0.9591923816516152,26.602720617548,0.7989883554886663,0.7033289601142969,0.0956593953743694,0.474420407266171,0.7287539908936822,0.7460144643977361,0.08072907715139156,0.9600789725117335,0.9367888266884484,0.0825757149743355,0.9592003996537534,0.9633077420573051
pc_sigreg_T16_coupled_etafix_s2,0.367,0.4015,0.2836064530683949,0.769752632843752,0.7732102441936781,0.09211159384782516,0.9556372662539012,0.9680562099185535,26.76065982760555,0.8016570993981135,0.7033289601142969,0.09832813928381656,0.40533474823689114,0.7732712151054579,0.7580997416253713,0.02022847583141672,0.9901214102004482,0.9399354073816064,0.06454966677408286,0.968256626720928,0.9711217295032731
