eta_h,F_final,L0_move,L1_move,L2_move,L3_move,L4_move,L5_move,L6_move,L7_move,L8_move,L9_move,L_final,L_monotone,diverged,n_layers,n_layers_moved
0.0156,0.04599623382091522,1.8901290843587049e-07,2.672386401059157e-08,7.672854573925747e-10,1.0934968208697882e-10,1.3853893143789264e-08,7.527281695729471e-07,1.8167260350310244e-05,0.0003220527432858944,0.0041397190652787685,0.07713302224874496,0.7654141187667847,True,False,10,2
0.03125,0.07950462400913239,4.2811936395992234e-07,8.933744055639181e-08,1.9282474283954798e-08,4.371567285943456e-08,1.06552920442482e-06,1.657277789490763e-05,0.0001926622207975015,0.0016808664659038186,0.010855681262910366,0.10701557993888855,0.6414379477500916,True,False,10,3
0.0625,0.10714404284954071,7.247436997204204e-07,3.4501786672080925e-07,3.478969290426903e-07,3.6364353945828043e-06,3.373516665305942e-05,0.00025239281239919364,0.0014524456346407533,0.006504214368760586,0.023130696266889572,0.1359139233827591,0.536266028881073,True,False,10,4
0.09375,0.12190382182598114,9.815292969506118e-07,8.863340781317675e-07,4.358052137831692e-06,3.247452332288958e-05,0.0001968157012015581,0.000978834112174809,0.0038587767630815506,0.012389035895466805,0.03364403545856476,0.15631599724292755,0.47091609239578247,True,False,10,4
0.125,0.13437297940254211,1.2532553910205024e-06,3.7831164263479877e-06,2.377977580181323e-05,0.0001308862556470558,0.0005947385798208416,0.0022596537601202726,0.007032632362097502,0.01853156089782715,0.04319225624203682,0.17432589828968048,0.4566635191440582,True,False,10,5
0.1875,0.16036492586135864,9.333594789495692e-06,4.710908979177475e-05,0.0001989053562283516,0.000736199610400945,0.0023383854422718287,0.0064533124677836895,0.015304733999073505,0.03211290389299393,0.062311802059412,0.21269720792770386,0.5276046991348267,False,False,10,6
0.25,0.20338501036167145,5.980969945085235e-05,0.00023296265862882137,0.0007553918985649943,0.0021954516414552927,0.005627524573355913,0.012808087281882763,0.025769805535674095,0.047266971319913864,0.08276459574699402,0.25602754950523376,0.6089568138122559,False,False,10,7
0.375,0.49237924814224243,0.0005850240704603493,0.001666935277171433,0.003947170916944742,0.00856690388172865,0.01722993515431881,0.031520698219537735,0.05335572734475136,0.08386056125164032,0.13277655839920044,0.35946452617645264,0.8674212098121643,False,False,10,9
