metric,untrained_mean,untrained_sd,PC_corrected_mean,PC_corrected_sd,BP_corrected_mean,BP_corrected_sd,PC_minus_untrained,PC_minus_untrained_in_sd,probe_version_comparable
class_linear,0.3313,0.0131,0.35566666666666663,0.009827681991870396,0.44733333333333336,0.0033291640592397146,0.024366666666666648,1.8600508905852402,True
class_mlp,0.4232,0.0254,0.3821666666666667,0.026468534778739356,0.4628333333333334,0.007285830998131435,-0.04103333333333331,-1.6154855643044612,False
knn,0.3752,0.0153,0.3421666666666667,0.011793359713556306,0.3898333333333333,0.0017559422921421372,-0.0330333333333333,-2.1590413943355102,True
decode_ssim,0.8317,0.0024,0.799686416907127,0.0017306709130362708,0.8079603529073079,0.0035556079919214075,-0.032013583092872944,-13.338992955363727,True
