tag,L0_disp,L1_disp,L2_disp,L3_disp,L4_disp,L5_disp,L6_disp,L7_disp,L8_disp,L9_disp,disp_floor,grad_norm_first100,grad_norm_last100,grad_norm_median,knn_best,knn_best_minus_first,knn_best_step,knn_first,knn_last,n_eval,n_frozen,n_layers,overall_disp
bp_sigreg_etafix_s0,0.1574278324842453,0.4387868642807007,0.4086436629295349,0.3772222697734833,0.3725782036781311,0.3707970976829529,0.38278988003730774,0.40324729681015015,0.4296668767929077,0.2247219830751419,0.1574278324842453,0.16602675341069698,0.07534980203956365,0.07138337194919586,0.4,0.056999999999999995,4000,0.343,0.39,10,2,10,0.2408398184983624
bp_sigreg_etafix_s1,0.16050943732261658,0.46739643812179565,0.4252541959285736,0.3921113610267639,0.38964346051216125,0.38305091857910156,0.3861444592475891,0.39894479513168335,0.42915964126586914,0.22561059892177582,0.16050943732261658,0.1536370113492012,0.06844261694699526,0.0667857825756073,0.391,0.04500000000000004,4000,0.346,0.385,10,2,10,0.24722737838321052
bp_sigreg_etafix_s2,0.154168963432312,0.47476527094841003,0.4265092611312866,0.3977373540401459,0.3793068826198578,0.37441331148147583,0.3781651258468628,0.4013989567756653,0.4310823976993561,0.23378276824951172,0.154168963432312,0.1869597464799881,0.07176761988550424,0.06868929415941238,0.3985,0.04250000000000004,14000,0.356,0.3875,10,1,10,0.2436259267511839
pc_sigreg_T16_coupled_etafix_s0,0.015569118782877922,0.08429010212421417,0.28798866271972656,0.5687276721000671,0.7012928128242493,0.7473823428153992,0.8226894736289978,0.9402644634246826,1.0333243608474731,0.7131786942481995,0.015569118782877922,0.02712894344702363,0.01067937733605504,0.00626297970302403,0.344,0.0,0,0.344,0.3205,10,1,10,0.37229755746196397
pc_sigreg_T16_coupled_etafix_s1,0.014555812813341618,0.0766831561923027,0.2694178521633148,0.5708889365196228,0.6566188335418701,0.6797530055046082,0.7709985971450806,0.9496169090270996,1.06142258644104,0.7565422058105469,0.014555812813341618,0.028882709611207247,0.004828460025601089,0.004694424802437425,0.35,0.0025000000000000022,14000,0.3475,0.345,10,1,10,0.3696359085030911
pc_sigreg_T16_coupled_etafix_s2,0.01683778129518032,0.09433780610561371,0.3179780840873718,0.5895383954048157,0.7270492911338806,0.7511699795722961,0.8275722861289978,0.940922200679779,1.053990364074707,0.7380641102790833,0.01683778129518032,0.037426243871450424,0.013918725857511163,0.007079013157635927,0.3635,0.008000000000000007,10000,0.3555,0.3515,10,1,10,0.37971852791471306
bp_sigreg_pilot_s0,0.04207698628306389,0.09444059431552887,0.09190809726715088,0.09147375822067261,0.09036382287740707,0.09005984663963318,0.09007102996110916,0.0904562920331955,0.09066525846719742,0.07250156253576279,0.04207698628306389,0.16602675341069698,0.051581964753568174,0.05503675155341625,0.363,0.019999999999999962,1999,0.343,0.363,5,1,10,0.058817407543869174
pc_sigreg_T16_coupled_pilot_s0,0.0033992792014032602,0.018619751557707787,0.05545676499605179,0.09882988780736923,0.1358426958322525,0.16295745968818665,0.1924857795238495,0.22548209130764008,0.26220378279685974,0.24048976600170135,0.0033992792014032602,0.02712894344702363,0.006711476310156286,0.007245281944051385,0.344,0.0,0,0.344,0.308,5,1,10,0.09059382411468979
