F_final,L0_cos,L1_cos,L2_cos,L3_cos,L4_cos,L5_cos,L6_cos,L7_cos,L8_cos,L9_cos,L_final,T,alpha,cos,cos_alpha0,cos_alpha_sel,dual_norm,eta_h,front_0p9,mean_layer_cos,norm_ratio,ok
0.04624374210834503,0.06791476942433512,0.2514837882415468,0.5594185878011021,0.6123180080443962,0.8819120214045837,0.8701770265525284,0.8557339045568523,0.8143584767494381,0.799110309151226,0.875576300258892,0.21680064499378204,16,0.0,0.4975976347923279,,,0.0,0.0625,0,0.6588003192184901,0.09088886830379451,True
0.1864737868309021,0.19426918922522896,0.36428482905279325,0.6430910765596767,0.8477906249392392,0.872396401542424,0.8494503333690157,0.8484408311848973,0.8123334225353835,0.823820759355103,0.8938339416899157,0.24625465273857117,16,0.125,0.5125264525413513,,,6.408456802368164,0.0625,0,0.7149711409453678,0.18503301000592726,True
0.36409053206443787,0.2827289133400454,0.6834428515405797,0.8048773138429631,0.8482484245747289,0.859270322280694,0.8428722565120446,0.8305793156321194,0.7947832194825617,0.8201262015674202,0.8958222671807202,0.2749517261981964,16,0.25,0.5182169675827026,,,11.246211051940918,0.0625,0,0.7662751085953878,0.2550473551453622,True
0.7100614309310913,0.45227579129065415,0.6841828901551854,0.8513115552445192,0.8664044717288211,0.8372323922135978,0.8094940327726173,0.7910959771706106,0.7602398483403511,0.8132751569004603,0.9027388003702956,0.3240319490432739,16,0.5,0.5313228964805603,,,17.84613800048828,0.0625,1,0.7768250916187113,0.3410760394529833,True
1.186644196510315,0.7656437016464148,0.8354741899876201,0.867230160603201,0.8523085107452626,0.7934108375007847,0.7501912227107583,0.7325207437298306,0.7244884775360502,0.8233668086352066,0.9226176552407812,0.3818073868751526,16,1.0,0.5637624263763428,,,24.25055694580078,0.0625,1,0.8067252308335909,0.38629465629806464,True
1.9652607440948486,0.8408607499249837,0.8464025137281498,0.8379419653414529,0.7938680304508245,0.724362117981771,0.6738367239174564,0.6925553171525853,0.7365102291015301,0.8422599204620669,0.8936781665581977,0.4014543294906616,16,2.0,0.5942996740341187,,,31.08109474182129,0.0625,0,0.7882275734619019,0.3593167115767428,True
164.45547485351562,0.7886250546888792,0.6861377114131066,0.44499764436369327,0.12242323205142724,0.2257378601604637,0.21055320378371234,0.12305237301599488,-0.04228881195010294,-0.15456984757173392,-0.1637374827325094,0.6687366962432861,16,4.0,-0.06398778408765793,,,350.96942138671875,0.0625,0,0.22409309372229314,18.556574439158318,True
0.08004828542470932,0.5893952270081075,0.5571130980016655,0.7502522585160065,0.7558524571084945,0.6983966468068344,0.6890047018674327,0.705953992867752,0.6758506620392465,0.728162422328531,0.7982827422492864,0.20308047533035278,16,0.0,0.4640907943248749,,,0.0,0.125,0,0.6948264208793358,0.09920946952054643,True
0.2508819103240967,0.7520903126999634,0.7901664315754244,0.8162962638738073,0.7801796954989377,0.7292926917048151,0.712432666737709,0.7238318832279524,0.7107492417044347,0.7834088297169535,0.8454449151249148,0.2611730098724365,16,0.125,0.499338299036026,,,7.238427639007568,0.125,0,0.7643892931864913,0.1869695802589259,True
0.463072270154953,0.8079479236046078,0.8137378232013823,0.8187915950678182,0.7962985766926056,0.7346800249311201,0.7077720014371177,0.7170679339060065,0.717657275443382,0.7963004468065245,0.8465331527084236,0.31269019842147827,16,0.25,0.5090050101280212,,,12.228798866271973,0.125,0,0.7756786753798989,0.2453771927839659,True
1.22650146484375,0.8289375966757812,0.820441910083079,0.813343294331057,0.7740626326270772,0.7248994396251862,0.7086432066678596,0.7254276861091219,0.7154246820332281,0.7242449321630026,0.7048587263586102,0.44552186131477356,16,0.5,0.4475213885307312,,,19.341123580932617,0.125,0,0.7540284106674002,0.34654476048064153,True
13.98774242401123,0.7953418692513208,0.7410945509039515,0.650194169294267,0.40412426703590226,0.39555999901937944,0.31213766116221564,0.21352610757885673,-0.023752524613368135,-0.1123997672056382,0.0270793862820591,0.815984845161438,16,1.0,0.01364091131836176,,,80.67692565917969,0.125,0,0.3402905718708946,6.478166914630628,True
283.817138671875,-0.07861566545480915,-0.15833572042875366,-0.2079814945116026,-0.12742925746668926,0.0953301944721355,0.17935738376952656,0.14340470534731495,-0.0025453941896902395,-0.0950601509510274,0.020805607022905202,0.790946900844574,16,2.0,0.04044698178768158,,,434.3650817871094,0.125,0,-0.023106979239069007,33.73691180842725,True
47676.95703125,0.1010150102329199,0.07058522509165766,0.04561785269064469,0.14902972036952908,0.20966635516091758,0.25089177283915887,0.22652176952932923,0.0732610702634095,0.03659146363015076,0.06241029120776272,1.0070394277572632,16,4.0,0.08896301686763763,,,5541.23974609375,0.125,0,0.122559053101548,565.837080449063,False
,,,,,,,,,,,,1,,,0.546347439289093,0.546347439289093,,0.0625,,,,True
,,,,,,,,,,,,2,,,0.5466376543045044,0.5469359159469604,,0.0625,,,,True
,,,,,,,,,,,,4,,,0.5394309759140015,0.5383481383323669,,0.0625,,,,True
,,,,,,,,,,,,8,,,0.5222158432006836,0.5232868194580078,,0.0625,,,,True
,,,,,,,,,,,,16,,,0.4975976347923279,0.5637624263763428,,0.0625,,,,True
,,,,,,,,,,,,32,,,0.4576253592967987,0.6543934941291809,,0.0625,,,,True
,,,,,,,,,,,,64,,,0.3949914276599884,0.7188971638679504,,0.0625,,,,True
,0.06791476942433512,0.2514837882415468,0.5594185878011021,0.6123180080443962,0.8819120214045837,0.8701770265525284,0.8557339045568523,0.8143584767494381,0.799110309151226,0.875576300258892,,16,0.0,,,,,0.0625,,,,True
,0.7656437016464148,0.8354741899876201,0.867230160603201,0.8523085107452626,0.7934108375007847,0.7501912227107583,0.7325207437298306,0.7244884775360502,0.8233668086352066,0.9226176552407812,,16,1.0,,,,,0.0625,,,,True
