tag,L0_disp,L1_disp,L2_disp,L3_disp,L4_disp,L5_disp,L6_disp,L7_disp,L8_disp,L9_disp,disp_floor,grad_norm_first100,grad_norm_last100,grad_norm_median,knn_best,knn_best_minus_first,knn_best_step,knn_first,knn_last,n_eval,n_frozen,n_layers,overall_disp
pc_sigreg_T16_coupled_alm_s0,0.055977653712034225,0.24829082190990448,0.529572069644928,0.6782968640327454,0.7573496699333191,0.9013973474502563,1.1778956651687622,1.3396693468093872,0.9422010183334351,0.7462655305862427,0.055977653712034225,0.10135756764560938,0.018901916164904834,0.01699475571513176,0.3635,0.020499999999999963,4000,0.343,0.3155,10,1,10,0.45554193242150937
pc_sigreg_T16_coupled_alm_s1,0.043119996786117554,0.21098816394805908,0.49797940254211426,0.7009815573692322,0.8186731338500977,0.9583116173744202,1.0970717668533325,1.3016047477722168,0.9333579540252686,0.7934514284133911,0.043119996786117554,0.09426220446825027,0.016261184066534044,0.01482949685305357,0.368,0.02100000000000002,6000,0.347,0.338,10,1,10,0.45523371131319873
pc_sigreg_T16_coupled_alm_s2,0.0493188239634037,0.2217610776424408,0.5134343504905701,0.7083626985549927,0.7685554027557373,0.8859729766845703,1.2164504528045654,1.284740686416626,0.8895920515060425,0.7838349938392639,0.0493188239634037,0.12873960923403502,0.01567671274766326,0.01507197879254818,0.3655,0.009500000000000008,6000,0.356,0.3555,10,1,10,0.45281494923687704
