F_final,L0_cos,L1_cos,L2_cos,L3_cos,L4_cos,L5_cos,L6_cos,L7_cos,L8_cos,L9_cos,L_final,T,alpha,cos,cos_alpha0,cos_alpha_sel,dual_norm,eta_h,front_0p9,mean_layer_cos,norm_ratio,ok
0.10761451721191406,0.06631932268170317,0.5773404210837917,0.9879068972229252,0.9905862383881986,0.9867131255351668,0.9824720997966608,0.9719375108039126,0.9580149624226391,0.9459783358459778,0.9232807204273652,0.5447965264320374,16,0.0,0.5465330481529236,,,0.0,0.0625,8,0.8390549634208341,0.13216443555559776,True
0.4229961633682251,0.3047724172235985,0.967139744142616,0.9502626117513253,0.9875911286219089,0.988279033506061,0.9848689194300928,0.975086933440877,0.962196337968995,0.9525981508280168,0.9327170101814698,0.618588387966156,16,0.125,0.5551683902740479,,,9.443681716918945,0.0625,9,0.9005512287094962,0.2639001589146522,True
0.8190072774887085,0.5766868656175679,0.9784546813724772,0.9866696535736013,0.9912418372650293,0.9883586988136461,0.9845459186351944,0.9742316698466544,0.9601693121599753,0.950711539901203,0.9326480977733805,0.6936587691307068,16,0.25,0.5582467317581177,,,16.6357364654541,0.0625,9,0.9323718274958731,0.3635929568246458,True
1.5694384574890137,0.9572106750154474,0.9832811482882213,0.9924222426688327,0.9893662365679541,0.9866773937662962,0.9820482017416247,0.9689573131737135,0.9521720424340463,0.9453699432773114,0.9359829890369931,0.8275856971740723,16,0.5,0.5663475394248962,,,26.41448211669922,0.0625,10,0.9693488185970441,0.48942351641963966,True
2.3866326808929443,0.9917074336063932,0.9932705659523536,0.9912852076979894,0.9857896301486689,0.9799569767831067,0.9727529886557137,0.9524758251987852,0.9355349263144355,0.9476125577606993,0.9593562721928581,0.996107816696167,16,1.0,0.5935753583908081,,,34.78095245361328,0.0625,10,0.9709742384311004,0.5471165449920393,True
3.1388800144195557,0.9933306324020436,0.9892097137920557,0.9834496476963362,0.9705998560348971,0.9571101206503432,0.9442518957828633,0.9220648294027924,0.9385679033562405,0.9679048973685541,0.9550352016966908,1.0440796613693237,16,2.0,0.621333122253418,,,39.51070022583008,0.0625,10,0.9621524698182815,0.4459862304789756,True
5.550788879394531,0.981775426262038,0.9676996058960343,0.9465273233821919,0.9154827320559414,0.9044074189788825,0.9230780689639624,0.9363714626161675,0.954014729046372,0.9723720752297357,0.9871234237420705,0.9709656238555908,16,4.0,0.6946282386779785,,,52.630008697509766,0.0625,10,0.9488852266173398,0.5348591372426321,True
0.13652971386909485,0.9717586929373041,0.9621713708327947,0.9777514217512656,0.970130184074273,0.9645835431305736,0.9563633810199884,0.9336728833234585,0.9147790154833361,0.9053900447494955,0.8881998525850269,0.46548277139663696,16,0.0,0.5341674089431763,,,0.0,0.125,9,0.9444800389887517,0.1359671008684452,True
0.4804450571537018,0.9881267190808031,0.9834366982838264,0.9808728163735017,0.9719876826353011,0.9660189785691439,0.9594468626468264,0.9387774711361027,0.9236651337100457,0.9226850117711308,0.9124187086633456,0.5954517722129822,16,0.125,0.5536706447601318,,,10.564706802368164,0.125,10,0.9547436082870027,0.2610593939451493,True
0.8537759780883789,0.9890290728532564,0.9853011663992138,0.9802611833564011,0.9704274645351362,0.9637361577231018,0.9569550179917937,0.9353631187479335,0.9221009028164381,0.9266989256670123,0.9215312040771793,0.6866072416305542,16,0.25,0.5646647810935974,,,17.716995239257812,0.125,10,0.9551404214167467,0.34072923307374026,True
1.4462566375732422,0.9884581242573408,0.9826857368749125,0.9770067331603736,0.9638652090761767,0.9551138308360999,0.9477611383674113,0.9251121984704967,0.9186559003309149,0.933897405559434,0.936330428629114,0.8053412437438965,16,0.5,0.5859098434448242,,,25.966432571411133,0.125,10,0.9528886705562274,0.40796173278197606,True
