,class_linear,class_mlp,knn,decode_ssim
untrained,0.3313,0.4232,0.3752,0.8317
untrained_sd,0.0131,0.0254,0.0153,0.0024
PC_alpha0,0.35566666666666663,0.3821666666666667,0.3421666666666667,0.7997
PC_alpha0_sd,0.009827681991870396,0.026468534778739356,0.011793359713556306,0.0017578395831247045
PCALM,0.35483333333333333,0.3786666666666667,0.3471666666666666,0.7948414058418755
PCALM_sd,0.022407216099581243,0.002020725942163692,0.020076935357104,0.00780256056919729
BP,0.44733333333333336,0.4628333333333334,0.3898333333333333,0.8079333333333333
BP_sd,0.0033291640592397146,0.007285830998131435,0.0017559422921421372,0.0035529330606322443
