run,target,lin_r,lin_nmse,mlp_r,mlp_nmse
"BP, 400 ep",asymmetry,0.5747857842012202,0.7155817496302359,0.756436918089244,0.4605985758551655
"BP, 400 ep",centroid_x,0.5525432548513347,0.7270830964481418,0.5990209361155389,0.6957651172416668
"BP, 400 ep",centroid_y,0.4133068115830986,0.9958749298803832,0.5366953620884626,0.8938929015751717
"BP, 400 ep",colour_gb,0.9074595016537638,0.19965861820843447,0.9067109250235382,0.20113908349673842
"BP, 400 ep",colour_rg,0.9423561292190938,0.07762065747133579,0.9573639817862453,0.054515729506291855
"BP, 400 ep",concentration,0.973688372600935,0.055140710622333014,0.9835366499534403,0.03549270016622924
"BP, 400 ep",contrast_std,0.9696378542945374,0.05910346033386269,0.9808634803342933,0.03779894991198747
"BP, 400 ep",ellipticity,0.6510693267437874,0.5823281208479237,0.6848909438985534,0.5864604358148378
"BP, 400 ep",flux,0.9330063507686169,0.13357448060510138,0.9489022878292425,0.10556134139219611
"BP, 400 ep",orient_cos2pa,0.3105632329925191,0.8804445210828153,0.3314164899104141,1.0711347751722615
"BP, 400 ep",orient_sin2pa,0.3194365476097357,0.9214103074873562,0.2848757892461763,1.1662412379992746
"BP, 400 ep",size_rms,0.9881329305549337,0.02435553333229403,0.9892633409566104,0.023077825473715632
"PC T=16, 400 ep",asymmetry,0.7626351370229595,0.4415464535756052,0.845241319888775,0.3065365149983139
"PC T=16, 400 ep",centroid_x,0.8279130950757314,0.32935349690229965,0.8357189974839482,0.3223063626200327
"PC T=16, 400 ep",centroid_y,0.8484710568552095,0.3354033911323441,0.8165718356666224,0.4025720973439219
"PC T=16, 400 ep",colour_gb,0.8140693181319967,0.38221487746096244,0.8089434473841871,0.40729065638953943
"PC T=16, 400 ep",colour_rg,0.6752446525832828,0.3661463766741142,0.6470533950219541,0.4409175280284673
"PC T=16, 400 ep",concentration,0.9582734273717565,0.08691497372557618,0.9694944875571528,0.06416899213260266
"PC T=16, 400 ep",contrast_std,0.97701369519315,0.044827343094915435,0.9833898689983147,0.03277953672822669
"PC T=16, 400 ep",ellipticity,0.7574608325833148,0.43095419155317505,0.7897688563951948,0.41341016959427584
"PC T=16, 400 ep",flux,0.9873602004143109,0.025982080379973328,0.9747557952265945,0.05186241154883809
"PC T=16, 400 ep",orient_cos2pa,0.565830761603839,0.6588257168572285,0.5595132719561567,0.905582747189696
"PC T=16, 400 ep",orient_sin2pa,0.5560012163294981,0.7095846296193049,0.5173267285119333,0.9909481525310445
"PC T=16, 400 ep",size_rms,0.973113446485996,0.05485181578516053,0.9791012769766031,0.04303919313340849
PC T=32,asymmetry,0.7649288985308268,0.43777811262871325,0.8120959192890769,0.37110001565790635
PC T=32,centroid_x,0.7197669904681703,0.5051956707688428,0.7642138280466548,0.4522197417166663
PC T=32,centroid_y,0.831445859029987,0.3694554677146527,0.7636549502834488,0.5131601221104228
PC T=32,colour_gb,0.8162985346681358,0.37898652127722404,0.807649723774937,0.3995976022626737
PC T=32,colour_rg,0.6759210365440625,0.3636760217120429,0.6377408583931704,0.45160727044842386
PC T=32,concentration,0.9558330287709929,0.09174898171636264,0.9614554710324211,0.08226631933914348
PC T=32,contrast_std,0.9751230869809105,0.04842435825324572,0.9784184043659662,0.042113850427683924
PC T=32,ellipticity,0.7530729559235567,0.4366476653733414,0.7760788809622196,0.43617947211445846
PC T=32,flux,0.9735408405907822,0.05522808499387928,0.9544111137582798,0.09330589233031251
PC T=32,orient_cos2pa,0.5558011280285126,0.6692731472548442,0.528490538874827,0.8882924100111524
PC T=32,orient_sin2pa,0.5470374738296274,0.720535866333392,0.4814951150460534,0.9834864499420044
PC T=32,size_rms,0.9682150357783187,0.06462558320515216,0.9728188635654769,0.05625982817710506
PC T=64,asymmetry,0.7666628683715516,0.43513574219590967,0.7732796124242127,0.4517088930119409
PC T=64,centroid_x,0.7556773830627814,0.4489925380888037,0.606891668782303,0.6718752834176202
PC T=64,centroid_y,0.778414325807372,0.47338636330296924,0.5797033890116065,0.8225807207426022
PC T=64,colour_gb,0.8242178986043015,0.3645763870261418,0.8125458180837211,0.3854000185448087
PC T=64,colour_rg,0.6748161609325966,0.3647497944745116,0.6462808103280918,0.4519028519932434
PC T=64,concentration,0.9535642046824718,0.09632761431451645,0.9602261169310201,0.08301654581296466
PC T=64,contrast_std,0.9784435374501933,0.04203386140112523,0.9800603907233395,0.039418327382466596
PC T=64,ellipticity,0.7538914148443944,0.43553338780366413,0.7301282927533144,0.5045679635948559
PC T=64,flux,0.9823026524105388,0.03646145043450814,0.9539440027117632,0.09262781233884136
PC T=64,orient_cos2pa,0.5317306867379941,0.6939895218291054,0.4150177538188873,0.9198193844190862
PC T=64,orient_sin2pa,0.5262816448429539,0.7441395020175258,0.429788617117016,0.9502461353419919
PC T=64,size_rms,0.9737667673339959,0.05350730133122185,0.9751730230657852,0.05167623245571005
